command,amount used
check,429
pic,240
hint,80
skip,54
leaderboard,12
help,12
ping,11
streak,10
stats,9
frequency,6
streak leaderboard,5
list,4
invite,3
export,3
missed,2
race,1
ignore,1
groups,1
